E 1—320 / Events.
ID	NO	TYPE	PART OF	LOWER START	UPPER END	SUMMARY	DESCRIPTION	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE	
E 251	251		Rev 2	28 May 1773			Mr. Walters Davidson’s slaves start a general revolt	Old			Sailors of MW Diligence under Capt. Davis	2 white men killed / Hill killed later / one family feared shot dead later / 1 steersman killed later	some to many slaves on St. George’s imprisoned in Diligence [to prevent their joining revolt]			min 4 families robbed	will be very little wood of any kind shipped in 1773	"Boston Post-Boy 830 p2
Rivington’s New York Gazetteer 16 p3
New-York Gazette and Weekly Mercury 1140 p3
New-York Journal 1600 p3
Boston Post-Boy 838 p3
General Evening Post 6225 p3
Rivington’s New York Gazetteer 29 p3"	"ADM 1/239 [29 May, 21 Jun, 8 Aug 1773]"	Burdon I p121	"Letter from New-York, dated July 12, say, ""Advice is received from Honduras Bay, dated the 29 of May last [1773], that the day before the inhabitants at St. George's Key were alarmed with an account of an insurrection havign happened among the negroes in the Old River, which broke out amongst the slaves belonging to Walter Davidson, who, when the accounts came away, had murdered two white men, and being powerful in number, were proceeding to the next mahogany works, to invite or force the slaves to join them. A number of inhavitants, joined to a detachment of sailors from the Diligence man of war, properly victualled and armed, are just now preparing to set off in quest of the revolters; every person possessed of families and property in the different rivers, are obliged to quit the key and proceed thither : such negroes as are suspected on this key, were last night taken up and confied on board the man of war; every precaution in taken to prevent any further disorder, and it is hoped the insurrection will, with the blessing of God, be subdued in a short time. /GEP 6225"	
E 252	252		Rev 2	4 June 1773		Escape Killings	"Yuc or Sp vecinos offer asylum to slaves or revolting slaves, and allegedly encourage them to kill and rob master before escaping to Yuc"	"Hondo, New"	Guards	"3 Neg of John Fullon, Hugh Wilson / [prev] other slaves"	"Capt. McDugall / [prev] Capt. Wooldrige, Capt. McCarthy"	min 3 Captains killed by slaves < Jun 73		min 3 slaves escape to Yuc with help of Guards < Jun 73		min 1 craft ransacked by Guards		Rivington’s New York Gazetteer 16 p3	"ADM 1/239 [8, 10 Aug, 11 Oct 1773]"	Burdon 1 p122		
E 253	253		Rev 2	7 June 1773		Marshmen’s Engagement	Baymen engage revolters	xxx		"c 50 slaves w 16 muskets, cutlasses etc."	"Capt. Thomas Davey, Baymen / 3 parties of 30 or 40 men ea. [later]"	6 white men prev killed / lead revolter likely fatally wounded	14 slaves had [possibly] been impressed prev / returned 8 Jun 73	revolters retire to woods		taken five settlements [houses likely] prev			ADM 1/239	Burdon I p121—5		
E 254	254		Hos 8	1 August 1773	23 August 1773		"Sp demand cargo from Thetis, causing panic amongst Baymen"	St. George’s										Daily Advertiser 13388 p1	ADM 1/239 [6 Nov 1773]	Burdon 1 p124	"New-York. Oct. 4. By a Letter from the Bay of Honduras, of the 23rd of August, we learn, ... that a small Spanish Vessel lately arrived there to demand the Cargo of a Register Ship cast away some Time since on the Northern Triangles; which alamred the Settlers so much that most of the principal ones there intended soon to embark for the Musqueto Shore, Georgia, &c. with all their Property. /DA 13388

1773, November 6th. Adm. Rodney, Jamaica, to Sec. Stephens. ... Capt. Judd could get no satisfaction out of the Inhabitants about the ""Thetis."" Those who converted the effects [salvaged from Thetis] to their own uses are leaving the Bay for fear of punishment. /via Burdon 1 p124 /Adm 1/239"	
E 255	255		Rev 2	1 August 1773			Magistrates lead party in search of revolters	xxx		c 70 revolters ?	parties led by Magistrates	taken or destroyed about 40 revolters	taken or destroyed about 40 revolters						xxx			
E 256	256		Rev 2	27 August 1773	30 September 1773		"Magistrates’ expedition against revolters returns unsuccessful, and man of war Garland arrives to help quell revolt"	St. George’s			MW Garland			c 70 revolters in woods / w Sp				"Daily Advertiser 13388 p1
Rinvington's New York Gazetteer 29 p3"				
E 257	257		Hos 10	1 September 1773	30 November 1773		Indians raid Settlement	xxx				massacred numbers of Eng				always taken what iron [arms] they could find / set fire to some houses		Middlesex Journal 730 p4				
E 258	258		War 6	1 March 1776	30 December 1784	Am Refugees	"American families take refuge in Settlement for duration of American Revolution, and Baymen aid at least with housing"	xxx						sev families from various parts of Am				"St. James's Chronicle or the British Evening Post 2374 p4
St. James's Chronicle or the British Evening Post 2684 p5
Morning Herald 1355 p2"	CO 137/88 [9 Aug 1789]	Burdon 1 p176	"Despard to Clarke, May 27th, 1789. ... The poor settlers including many American Loyalists are anxious to remove to the Bahamas or the Mosquito Shore [from Hon], since provision-growing is not permitted. /via Burdon 1 p176 /CO 137/88 [9 Aug 1789]"	
E 259	259		War 6	12 September 1777		Washington Affair	American privateer threatens and raids Settlement	"St. George’s, Sibun"	Commander Hezekiah Anthony				1 pilot fm St. George’s to Sherboon	evac St. George’s to New for ? m	"2 ships, 1 brig taken"	"supply of rum, sugar demanded for"		"Rivington’s New-York Loyal Gazette 144 p3
Daily Advertiser 14672 p8"	"ADM 1/240
MEXICO,3018 -- a 30 sep 1777, a 19 enero 1779"	Burdon I p126		
E 260	260		War 6	2 September 1779	30 November 1779	Capture of St. George’s Caye	"One Yucatan military campaign against Settlement, after which St. George’s is surrendered to Yucatan but shortly thereafter retaken by Jamaican men"	"Hondo, St. George’s, New"	Gov of Yuc D. Roberto Rivas Betancourt / José Rosado / 500 soldiers + militia inc Amerindian / 300 soldiers fm Campeche garrison / 13 Frigs some sm Cayucos	2 Frigates of 40 cannons / 1 Brig of 16 cannons / all fm Jam w 700 men [after capture of St. George’s]		2 killed [13 Sep 79]	F George garrison imprisoned = c 250 house Neg	entirely driven fm all Hon [later or same time?] to xxx 1783	craft seized / later liberated	Fort George taken [so houses destroyed?] / deprived Eng of wood [so laid wood destroyed?] / 672 houses destroyed [Ranchos? source?]		"Lloyd’s Evening Post 3699 p5
English Chronicle 560 p4
New-York Packet 429 p2
Morning Chronicle (1770) 6000 p3
Royal Gazette [Kingston] III 115 p5"	"CO 137/75 [1 Oct 1779]
CO 123/3
CO 123/2
INDIFERENTE,1582 [R. Betancourt a J. de Galvez, Mérida a 18 ago 1779]
INDIFERENTE,1582 [R. Betancourt a J. de Galvez, Bacalar a 27 nov 1779]
MEXICO,3155 [Relación para la Gaceta de las operaciones en Walix durante los meses de octubre y noviembre de 1779]"	"Burdon 1 p128—40
Contreras 71 = Piña Chan 1977 p97
Calderon 244-248"	"In a raid in 1779 the Spaniards claim to have destroyed 338 houses at New river, 200 at Old [rather St. George’s], and 134 at Sibún (Xibún). /Gerhard 74, citing no source

1779, October 1st. An account of the Spaniards' landing at and taking of St. George's Key by the subscriber (Edward Felix Hill) who was then ont he place and an inhabitant. On Wednesday September 15th, 1779, ... N. B. There were 101 White People on the Key when it was taken and 40 of Mixed colour. [and c 250 mostly house negroes, since Neg slaves that cut logwood were then up the River Belize]. /via Burdon 1 p129 /CO 137/75"	
E 261	261		War 6	16 October 1779	29 November 1779	Battle of San Fernando de Omoa	"British Army, with Baymen and unknown number of irregulars, take Omoa"	Omoa	365 men	Col. William Dalrymple / Commodore John Luttrell / 150 Eng soldiers	 2nd Lt. of Bay Fuziliers James Bartlett / 207 Baymen in “Bay Fuziliers” / 35 Shoremen / 59 Mis	"6 killed, ? died of disease"						"St. James's Chronicle or the British Evening Post 2965 p5
St. James’s Chronicle or the British Evening Post 2968 p11"	"CO 137/75 [5, 21, 29 Oct, 28, 29 Dec 1779]
CO 137/76 [22 Jan 1780]
CO 123/3 [12 Apr 1781]
CO 123/2 [13 Sep 1782]"	Burdon I p129—31	"LONDON ... A Letter from Jamaica says that all the Ships that were upon the Omoa Station, when they returned to Jamaica sent more than half their Crews on Shore to Sick Quarters, and that several of them had died of a pestilential Distemper caugh in the Bay of Honduras. /SJC or BEP 2965

1782, September 13th. A List of the several Accounts of Loss sustained by the British settlers at the capture of St. George's Kay by the Spaniards the 15th Day of September 1779, ... Adjusted and Settled, by the Committee Chosen and Appointed for that purpose at Kingston in the Island of Jamaica ... --Jamaica Currancy. ... The total amount claimed is [J] £109,840 4s 6d, plus Interest. /via Burdon 1 p132 /CO 123/2"	
E 262	262		War 6	28 October 1779	5 November 1779		One Yucatan military campaign against Settlement	"St. George’s, Old, New, Sibun"	Gov of Yuc Roberto Rivas Betancourt / Teniente Coronel D. Francisco Piñeiro / 5 Goletas / 10 PA / 8 Dorises / 390 men // later Capt. José Urrutia / 120 men / 9 PA / 4 Dorises				2 Eng 1 Neg fm St. George’s / 3 Neg fm New			> 200 houses destroyed “aunque de madera era de no vulgar arquitectura”			"MEXICO,3155 [Relación para la Gaceta de las operaciones en Walix durante los meses de octubre y noviembre de 1779]"	Calderon 247-248	"[H]a quedado la provincia de Campeche enteramente limpia de enemigos. La pérdida que éstos han sufrido [inc Capture of St. George’s?] en 307 esclavos, 5 goletas y 1 balandra que se les ha tomado, otras 5 goletas y 40 embarcaciones menores echadas a pique, armas, municiones, efectos, considerables porciones de ganado y muebles exquisitos que con las casas ha devorado el fuego, se regula ascenderá a más de 300.000 pesos fuertes. /via Calderon 248 /MEXICO,3155"	
E 263	263		War 6	17 March 1780	8 November 1780	San Juan Expedition	"British Army, with Misk allies, and possibly with Baymen, attempt to capture Granada and León"	xxx											"Kemble 2 p244
CO 137/79 ff 164-167
MEXICO,3155--a 15 ago 1779"	"Offen 51
Calderon 243 no 8"	cf wiki	
E 264	264		War 6	1 June 1781	15 June 1781	Siege of San Pedro Sula	"British Army, with Baymen and unknown number of irregulars, raid and destroy San Pedro Sula"	"Roatan, San Pedro Sula"		Capt. George Brown of 60th of British Army / Mjr. Lowrie w Baymen / few other irregulars		"1 scout killed, loss of 2 men in sacking / burning St. Pedro"						"New-York Gazette and Weekly Mercury 1574 p3
Gazette of Saint Jago de la Vega [Spanish Town] 1323 p2"				
E 265	265		War 6	26 August 1782	31 August 1782	Siege of Black R	"British Army, with American and Miskito allies, and possibly with Baymen, take Black River"	"Cape Gracias a Dios, Black R [Río Kruta]"	1 Lt. Col. / 26 officers / 715 men	Lt. Col. Despard / Mjr. Lawrie / 70 to 80 men of Odell's American Rangers under Major Campbell / 500 free people and Neg / 600 Mis indians								"Gazette of Saint Jago de la Vega [Spanish Town] 1379 p2
Gazette of Saint Jago de la Vega 1382 p2"			"He [Despard] acknowledges also the great assistance he received from Major Laurie, who, notwithstanding his bad state of health, attended him on the expedition /GSJV 1379"	
E 266	266	O		3 September 1783	3 September 1783	Treaty of Versailles													"FSP
PR 1 [11 May 1784]
Hon Alm [1828]"	Burdon 1 p137		
E 267	267	O		1 July 1784	15 September 1785	Mercury Affair	"George Moore, a merchant of London, under Government contract, transports 86 convicts aboard ship Mercury to Hon, after which Public Meeting resolves to not allow their disembarking, though Superintendent is required to disembark them"	Old		Col Despard / Evan Napean / Mercury owner George Moore / Mercury master John Arnott / Chief mate of Mercury Daniel Hill / William Whaley								New-York Packet 574 p2	"PR 1 [9, 11 Aug, 5, 12, 22 Sep, 2, 5 Oct 1784] CO 123/11 [4 Jul 1788]"	Burdon 1 p146	"1784, August 9th. Meeting of Inhabitants at a private house. Four Magistrates, 15 other inhabitants present. The meetnig was occasioned by the alarming and dangerous situation from the arrival of the Ship Mercury with a great number of convicts, the landing of whom would damage the credit and character of the country. Resolved, ""that the Agent Factor or Super-cargo for the said convicts be required to order the whole of them to be reembarked without delay on the Ship Mercury in order that they may sail in said ship at or before the expiration of 15 days before mentioned allowed fro her stay here ... It is likewise resolved that any person purchasing any of the aforesaid convicts shall for each and every one pay the aforesaid fine of one hundred pounds currency. [Here follow 31 names.] /via Burdon 1 p146 /PR 1

1784, September 22nd. Court. Case of Henry Jones v Daniel Hill and Moses Pastrom before three Magistrates and a jury of 17. Held at the house of James McAulay. [Re Hill and Pastom going to Northern River with a number of convicts from the ship Mercury.] ... juroers find for the Plaintiff and that the defendants have acted contrary to the Resolves signed the 9th day of August last, and that the majority are of opinion Mr. Jones acted in the same manner they would have done. /via Burdon 1 p147 /PR 1

1785, September 15th. Evan Napean, Whitehall, to Superintendent Despard. ... I am directed by Lord Sydney to desire that upon their [about Thirty Convicts sent to Hon by Mr. George Moore, a Merchant in London, with the approbation of Government] arrival you do permit them to be landed ... /via Burdon 1 p150 /xxx [Reference lost.]

KINGSTON, Jamaica, Jan. 14 [1786]. By the arrival of the schooner Nancy, Captian Vaughan, who left the Bay of Honduras the 3d ult. [Dec 1785] ... Few communities endure so many difficulties as the settlers in he above-mentioned Bay; but as if their situation was directly the revese, and claimed chastisement lest they should be too happy, it pleases their kind Governors in England, to deprive them of any one moment's safety or satisfaction, by continually deluging them wiht torrents of convicts of the most unprincipled kind. Several of the smaller settlers have lately been absolutely ruined by the robberies effected int heir property, by these desperadoes, who find immediate reception either at Bacalar or Truxillo: This reception is the more remarkable, those English criminals not being found to exhibit an improved state of morals; since for the commission of various crimes, upwards of twenty of those people were in confinement at the town of Bacalar, when the last advices were received—Roused at lenght, and irritated beyond bearance, the Magistrates and people in general, as we are informed, resolved, at a late general meeting, ""To oppose the admission of any more of these pests and outcasts; to admonish such commanders as may convey them there, to depart without debarking any of them; and, in case he should obstinately persist, to set the vessel or vessels on fire.” /NYP 574"	
E 		O		1 September 1784	15 October 1784	Paliac murders	"Party of Ma, in act of revenge occasioned by Dominican friar Joseph Delgado of Bacalar’s having whipped a Ma king, go on killing spree, which results in 4 Bacalar vecinos and 3 Franciscans dead"	"Has, Paliac, Misit"	Regidor of Bacalar-at-Chunhuhub Francisco de Hariza Arruyo / Diego Martín / Francisco Nuñez / Pablo Xul / Alcalde of Yaxal Agustín Cholat	10 t 14 Ma									"MEXICO,360 [Expediente sobre la muerte de tres religiosos, 1684–87]
MEXICO,312 f 4v–12r, 40v –57r [Expediente sobre misiones a 1696 inc Auto de ruego a 9 ene 1696]
PATRONATO,237,R.8 f 16–22"	Jones 1 p248	"Has = hamlet c 30 [Sp] leagues from Paliac /via Jones 1 p250
Misit = [presumably] c 8 leagues from Paliac /via Jones 1 p249

Killed = Friar Joseph Delgado, Friar Marcos de Muros /via Jones 1"	
E 269	269	O		1 December 1784	1 December 1784	Superintendency	Col. E. M. Despard appointed Superintendent	London											"CO 123/2 [13 or 16 Jun 1783, Memorial]
CO 123/3 [29 Sep 1783]
CO 123/5
CO 137/84 [23 Jan, 1 Dec 1784]"	"Campbell 2003
Burdon I p149"		
E 268	268		Nat 2	1 December 1784	30 November 1785		Heavy wet season precludes trade and causes outbreak of distemper among Baymen	New				epidemic distemper at New proved fatal to many					severest weather ever remember fm Dec 84 to Nov 85 … esp New	London Chronicle 4412 p7				
E 270	270		xxx	1 February 1785			"Baymen panic in fear of Sp attack, and retreat to St. George’s, after which Major Hoare reassures them of safety"	"New, Hondo"		Major Hoare				"settlers in New, Hondo lost part of their Neg / evac to St. George’s, Belize"		left their stock in jeopardy / their habitations = inexpressible losses	were in want of bread Prov	General Evening Post 8094 p1				
E 271	271		Hur 1	20 August 1785	20 August 1785		One hurricane strikes Hon	xxx										"New-York Packet 574 p2
Whitehall Evening Post [1770] 6062 p2"	CO 123/3 [26 Nov 1785]	Burdon 1 p152	"[Major Hoare, Magistrate, to Robert White, 8 Sep 1785] ""And to add to our Misfortunes, We were one the 20th [Aug] Visited with a most deadful Hurricane, which lasted 12 hours, and did us much Damage ..."" /via Burdon 1 p152 /CO 123/3

KINGSTON, Jamaica, Jan. 14. By the arrival of the schooner Nancy, Captian Vaughan, who left the Bay of Honduras the 3d ult. [Dec 1785] ... When the Nancy sailed, the inhabitants in general enjoyed good health, were tolerably well supplied with provisions and other necessaries, and were recruiting fromt he dreadful effects o fhte late hurricane, in which most of their habitations were destroyed, their plantations torn to pieces, and their business totally stagnated, by the roads to their works being filled with trunks of trees, and rendered impassable. ... /NYP 574

From the JAMAICA GAZETTE. Kingston, Jan 4 [1786]. By the arrival of Capt. Hunt, from the Bay of Honduras, we learn, that immense damage was done in all that neighbourhood, by the hurricane which was so severely felt here the latter end of August last. The sort of craft adapted to running wood out of the different Rivers, and of which the wood-cutters had not before half the necessary supply, in general sustained great detriment; and the Porgey, the only vessel which carried on any correspondence between the Bay and Jamaica, was driven ashore, and her being got off was very doubtful, at the time of the Sally's departure: It is said, that the loss to the Porgey's chief owner could not be rated lower than 1500l.—The Spanish settlement of Paccalar was at the same time almost desolated. /WEP 6062"	
E 273	273	O		1 June 1786	27 June 1786	Col Despard arrives	Col. E. M. Despard arrives to fill Superintendency	Old											"CO 123/9
Laws 1765—1810"	Burdon I p153		
E 272	272		Rev 3	1 June 1786	30 July 1786		Slaves start general revolt	xxx				killed a number of people		slaves mustered = 70 or 80 by Nov 86				Massachusetts Gazette VI 292 p1			"NEW-YORK, December 14. We learn, that a very dangerous insurreciton has taken place among the negroes at the Bay of Honduras, who, in the month of Jule last, mustered to the number of 70 or 80, killed a number of people, and declared they would not suffer a white man to live. It is said the Spaniards will protect them in their villainy. /MG VI 292"	
E 274	274	O		14 July 1786	14 July 1786	Convention of London													FSP	Burdon 1 p154		
E 275	275	O		1 September 1786	1 September 1786	King’s House built	"Committee [likely Magistrates] chooses Mr. Dean’s lot for first Government House, to be Superintendent’s House, or Court House, thereafter likely christened King’s House"	Old											CO 123/5 [1 Sep 1786]	Burdon I p158	"25 Nov 1789, Col Despard dates an advertisement as ""King's House"" /via Burdon 1 p181 /CO 123/12 [25 Nov 1789]"	
E 276	276		Crs 4	1 June 1787			Riots break out between old Baymen and newly-arrived Shoremen on disagreement over allotment of lots	Old		Superintendent Despard							"riots very frequent c Jun 87 / jealousy bw old, new settlers wrt lands"	"Massachusetts Gazette VI 340 p2
Public Advertiser 16594 p3
New-York Packet 721 p2"	"GUATEMALA,666 [Papel entregado por R. Liston a Floridablanca]
MEXICO,3023 [E. de Grimarest a Sonora, Bacalar a 21 may 1787]
CO 123/5 [21 Feb, 2 Mar 1787]
CO 123/6 [1787]"	Calderon 300 no 8	"1787, February 21st. Meeting of Inhabitants (25 Signatures). Protesting against the action of Despard in distributing lots in the new are [Convention Town?] to Mosquito Shore settlers only, ""without consulting any of the Inhabitants of this Country who from their residence and former usage have always been considered the best Judges of their own necessaries and uniformly allowed to legislate for themselves."" /via Burdon 1 p160 /CO 123/5

1787, March 2nd. Petition of Honduras Settlers to Secretary of State. Reports Col. Despard's refusal to permit the Moskito refugees to enter the newly allotted lands int he Bay before completion of the evauction of the Shore, altho' the Spanish Commissioners themselves raised no objection. /via Burdon 1 p161 /CO 123/5

1787. Many Memorials of Settlers. Protesting against Despard's action in ordering the Moskito refugees off the dry land on the South side of the Belize River, because the Moskito Shore had not been completely given up; and in calling on the Spanish troops under Major Brison to assist in seeing his orders carried out. /via Burdon 1 p161 /CO 123/6

Despard requests detachment of troops from Jamaica to preserve peace c May 1787
[H]asta el dia 19-5 [1787], habían llegado a los establecimientos de Walix 1704 colonos de los transmigrados de la costa de Mosquitos, ... /via Calderon 322 no 50 /MEXICO,3023"	
E 277	277	O		8 July 1787	8 July 1787	Grimarest State Dinner	Spanish and principal inhabitants of the Bay commemorate recent peace with stately dinner 	Old	E. de Grimarest	Col Despard / James Lawrie / Capt John Hutt / Thomas Nicols / 30 Principal inhabitants									"MEXICO,3023 [E. de Grimarest a Sonora, Bacalar a 20 ago 1787]"	Calderon 233	"Para solemnizar el acto de posesión, resolví que al siguiente día 8-7 [-787] concurriesen a comer a mi campamento el Superintendente Despard, el Coronel Superintendente, que fué del territorio de Mosquitos, D. Jaime Lawrie, el Capitán de Navía, Comandante de la Fragata Camila, D. Juan Hutt, que me condujo el pliego de aviso de que enteré a V. E. con fecha 30-6, número 21, el de la Fragata Sienet, D. Tomás Nicols, y los demás habitantes de distinción de aquellos establecimientos, cuyo número compuso el de 35 cubiertos en la mesa; se efectuó con el mejor método y satisfacción la enunciada entrega, y para más decoro y autoridad de ella, se terminó con repetidas salvas de artillería, que en memoria respetuoso del Rey Nuestro Señor, ... y demás personas de su Augusta Real Familia, del Rey de Inglaterra, Ministros, y Jefes, se hicieron por la Balandra Española y piraguas de Bacalar ... /via Calderon 233 no 52 /MEXICO,3023 [E. de Grimarest a Sonora, Bacalar a 20 ago 1787]"	
E 278	278	O		8 July 1787	7 August 1787	Harrison and Valentin Survey	"Captains Harrison and Valentin set out to discover the source of River Sheboan, possibly marking first geological survey in Hon by Baymen"	Sibun		Col Despard / Capt Harrison / Capt Valentin									CO 123/5 [7 Aug 1787]	Burdon 1 p165		
E 279	279		Crs 4	1 August 1787			Scarcity of provisions	xxx									Flour and some Prof very scarce and dear	"Daily Advertiser NY III 820 p2
General Advertiser (1784) 3412 p3"				
E 280	280		Crs 4	1 August 1787			Scarcity of merchant shipping or surplus of logged wood	xxx									settler much in want of shipping for their products	General Advertiser (1784) 3412 p3				
E 281	281		Hur 2	2 September 1787	2 September 1787		One hurricane strikes Hon	"Old, St. George’s, New, Northern, Hondo [Rowley’s Bight]"				7 Baymen / 143 sailors			25 t 26 sail [only 7 not recoverable?] = 15 sloops and schooners + great number of low draught craft	"all houses [not less than 500, and works huts] levelled / all kinds of goods and property = Mah [> 300,000 ft], furniture, live stock, "		"Public Advertiser 16729 p2
Daily Advertiser IV 899 p2
Daily Advertiser IV 902 p2"			"Extract of a letter from the Bay of Honduras, dated September 29, 1787. ""A severe and violent hurricane came on here, the 2d of this month, in the morning, at seven o'clock. It continued with unceasing fury, till near one, a space of about six hours, accompanied with an inundation from the sea. This gale carried with it more perfect destruction, than ever I heard of, in any similar calamity, levelled every dwelling with the ground, destroyed all kinds of goods and property, and seven lives on the shore. Twenty-five or twenty-six sail of vessels, of all descriptions, were stranded, and aground on the shoals and quays; from those vessels, 143 lives were lost: Seven ships not recoverable.—One brig, and most of the small craft may be raised and saved. The limits of a letter will not allow me to give you an account at large, of this dreadful scene."" /DA IV 889

Particulars of a most violate HURRICANE, which happened in the Bay of Honduras, on the 2d day of September last [1787]. ... The damages sustained by the inhabitants alone [ie exc Fleet], including their crafts, negroes, provisions, dry goods, furniture and other articles of property, are estimated at not less than 30,000l. ... /DA IV 902"	
E 282	282		Ill 4	1 February 1788	30 August 1788		Outbreak of unknown cause or nature spreads among Baymen	xxx				"upwards of 50 white, much greater numb of Neg fm Sep 87 to Jan or Feb 88"						New-York Morning Post 1215 p2			"New-York, Feb. 6. By the latest advices from the Bay of Honduras, we learn that the settlements have been visited by a dreadful mortality; which, since the late hurricane, has carried off upwards of fifty white people, and a much greater number of negroes. /NYMP 1215"	
E 283	283		Crs 4	5 December 1788	5 December 1788		Public Meeting and Col Despard resolve to come to amicable terms	Old											CO 123/9 [5 Dec 1788]	Burdon 1 p171	"Pub Mtg appoints deputation to wait on Col Despard to try and bring about better relationship and clear up all discussion; to which Col Despard replied ""he esteemed it his duty to co-operate with them in measures tending to produce these desirable ends."" /via Burdon 1 /CO 123/9"	
E 284	284	O		1 January 1789	25 November 1789	Despard v Usher	"Possibly first suit of libel in Hon, brought against James Usher, former Magistrate, on his publication of an “Address to the Public,” touching on Col Despard’s Court of Appeal. Grand Jury gives verdict of Ignoramus "	Old		Col Despard / James Usher									xxx	Burdon 1 p181 fn ‡		
E 285	285	O		17 February 1789	17 February 1789	Council of Trade recommends Am embargo	"On Col Despard’s prompting, Board of Trade recommends orders be given to stop American ships from trading at Hon"	London		Col Despard									"CO 123/7 [17 Nov 1788, 17 Feb 1789]"	Burdon 1 p170	"W. Fawkener to Lord Sydney, Feb. 17th, 1789. ... ""it is for the Advantage of the Commerce of this Country to prevent the Subjects of the United States of America from enjoying the Privileges conceded to Great Britain in respect to the Trade in the Bay of Honduras."" /via Burdon 1 p171 /CO 123/7"	
E 286	286		Crs 4	1 April 1789			Surplus of logged wood	xxx									"such great quant of timber [Log, Mah likely] cut down fm Apr 87 to 89 / scarcely know what to do w it"	"The Times 1169 p3
The Times 1173 p3"				
E 287	287		Crs 4	1 April 1789			Spanish commissary destroys all cultivated spots of Settlement	Old	Sp Commissary Juan Bautista Gaul	Col Despard / Secretary of Superintendent James Bannantine						Sp commissary destroyed all cultivated spots [plantain walks]		"Morning Star 161 p2
St. James's Chronicle or the British Evening Post 4421 p1
New-York Daily Gazette 227 p906"	"CO 123/7 [25 May 1789]
MEXICO,3108 [L. Galvez a A. Valdes, Mérida a 8 oct 1789]
CO 123/8 [1789, Report by J. Bannantine]"	"Burdon I p171
Calderon 359 no 4"	"1789, May 25th. Despard to Lord Sydney. Reports that a Spanish Officer arrived to inspect the limits on May 7th and ""has behaved extremely strict in the execution of his office, particularly in destroying the plantaitons in that part of the settlement where he has been."" He is now doing the same in the rest of the settlements. This conduct bears hardest on the settlers who have no slaves to cut wood and therefore cannot buy provisions. He has sent to Jamaica for supplies for the. /via Burdon 1 p171 /CO 123/7 

KINGSTON (Jamaica) July 25. The brig Mentor had a passage of 28 days from the Bay of Honduras. By her we are favoured with a letter from that place, and hte following is extracted therefrom : ""The jealous Spaniards have been among us, and laid waste most of our plantations; not a plantain tree, or any thing else that was of service, have they left standing, as far as they have gone; so that nothing but ruin awaits us. This behaviour of the Dons has caused great confusion, and what the event may be God knows!"" /NYDG

Después del reconocimiento de Cayo-Cocina, tuvo por conveniente D. Juan Bautista Gual, por denuncias que se le dieron el pasar a Cayo Bohel, y a Cayo Inglés, y en ambos encontró habitaciones que hizo quemar, ... En los ríos referidos, a excepción del Hondo, halló porción de plantíos cultivados, y todos se destruyeron ... Sobre la ribera española del Walis, a las sesenta y siete millas de su boca, encontró también un rancho compuesto de casas, negros esclavos, animales domésticos, y algún equipaje, y haciendo quemar las casas, /via Calderon 359 no 4 /MEXICO,3108 [L. Galvez a A. Valdes, Mérida a 8 oct 1789]"	
E 288	288		Crs 4	2 June 1789			Surplus of logged wood	xxx									8 ships arrived at Eng [Lon and Out ports?] all w Mah by 2 Jun 89 / there seldom was known to be > 3 or 4 ships in one yr		"MEXICO,3025 [S. Bargas a C. Alange, Mérida a 7 dic 1792]
CO 137/90 [16 Jun 1792]"	"Calderon 391, 394
Burdon 1 p199"	"INFORME DE GUAL EN BACALAR A 25-7-792. [E]l común de los habitantes detesta semejantes infracciones [= En las riberas extra límites del Valis ... como 700 árboles de caoba cortados, y sacados] y anhela el verlas remediadas, por lo que le dañan, haciendo descender el precio de la caoba con la excesiva abundancia a la mitad de lo que generalmente se considera necesario para que la corta sea útil a los cortadores. ... Comparadas las cantidades [de pies de caoba exportados] del año próximo pasado [1791] con las del presente, se ve, que la exportación hecha en ésta ha sido formidable, de que procede el descenso de valor de la caoba, a poco más de medio shilling, o de real y medio de vellón a cada pie. /via Calderon 391 /MEXICO,3025 [S. Bargas a C. Alange, Mérida a 7 dic 1792]

1792, June 16th. Magistrates to William Dunlop, Agent-General for Jamaica. ... Since Hunter left only one Spanish officer has visited the settlement, and he finding no English offer to accompany him ""declined ascending the Rivers, so that the transgressors [who cut Mahogany outside of Treaty limits] have escaped paying the usual Tax [levied by Spanish Commissaries on transgressors] of two and a half dolars per log."" The result has been that during the last year [1791?] mahogany equal to one-third the total consumption of Europe has been cut. /via Burdon 1 p199 /CO 137/90"	
